Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
batch,150,6364,4951,14133,16118,17996,435,18621,0.000%,7.67185,1.85,1.21
TOTAL,150,6364,4951,14133,16118,17996,435,18621,0.000%,7.67185,1.85,1.21
