Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create User,50,775,654,1431,1492,2127,445,2127,0.000%,17.31902,4.23,7.07
Create Magazine,50,634,546,1163,1210,1580,248,1580,0.000%,19.66182,4.90,6.87
Create Subscription,50,357,304,384,875,953,224,953,0.000%,16.90331,4.28,7.35
"Get Subscriptions ""/""",50,544,215,1269,1302,2586,198,2586,0.000%,12.20703,8.58,1.87
"Get Subscriptions ""/index.css""",50,34616,27837,66146,72529,130440,3807,130440,8.000%,.38119,67.07,0.06
"Get Subscriptions ""/index.js""",50,12473,11255,21013,21987,30089,2173,30089,0.000%,.38790,61.32,0.06
"Get Subscriptions ""/subscriptions""",50,5356,4791,8425,10892,17813,849,17813,0.000%,.40564,29.01,0.07
TOTAL,350,7822,947,21987,34714,72529,198,130440,1.143%,2.57671,149.82,0.67
