Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/static,300,735,433,1439,1756,2956,393,10709,0.000%,26.02134,18.30,4.14
/index.js,300,37001,24970,79160,134234,199908,2359,199987,9.000%,1.49881,215.79,0.22
/index.css,300,16142,14219,25670,29631,67970,1529,177043,0.667%,1.49094,283.08,0.24
/image3.jpg,300,18700,18610,29648,31458,38212,1412,43442,0.000%,1.54292,521.01,0.25
/image2.jpg,300,2730,2151,4962,6052,8345,392,31787,0.000%,1.66329,108.53,0.27
/image1.jpg,300,2722,2122,5098,6245,8794,393,32817,0.000%,1.69000,119.50,0.28
TOTAL,1800,13005,4818,29415,41175,126833,392,199987,1.611%,8.68659,1170.05,1.38
