Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/static,150,537,420,1016,1055,1722,393,2959,0.000%,38.05175,26.76,6.06
/index.js,150,20252,7548,42976,67548,187964,1618,190295,2.000%,.78282,121.29,0.12
/index.css,150,27798,20134,53400,69702,131682,1605,175922,4.667%,.74239,135.32,0.11
/image3.jpg,150,28364,27007,47549,52642,76214,1671,193589,0.667%,.75033,251.69,0.12
/image2.jpg,150,3898,2492,7677,9213,33416,397,45680,0.000%,.79268,51.72,0.13
/image1.jpg,150,3790,2831,7268,9123,18685,397,20033,0.000%,.79636,56.31,0.13
TOTAL,900,14107,5059,37007,49302,118364,393,193589,1.222%,4.34124,585.57,0.69
