Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create User,300,3784,3942,4105,4429,4732,2991,5234,0.000%,52.76117,12.88,21.54
Create Magazine,300,3590,3554,3748,4089,4295,3363,5632,0.000%,36.38569,9.06,12.72
Create Subscription,300,2155,2069,2647,3163,4231,236,4732,0.000%,52.71481,13.33,22.91
"Get Subscriptions ""/""",300,506,216,1297,1361,2444,197,4654,0.000%,49.61958,34.89,7.61
"Get Subscriptions ""/index.css""",300,45221,35804,80737,130703,188659,2256,200676,12.333%,1.48348,248.82,0.21
"Get Subscriptions ""/index.js""",300,14559,12735,25908,29232,50218,1370,177902,0.667%,1.48976,233.94,0.24
"Get Subscriptions ""/subscriptions""",300,18510,18337,30942,33015,43979,1648,61700,0.000%,1.51591,497.47,0.25
TOTAL,2100,12618,3876,31029,47105,122625,197,200676,1.857%,9.78784,914.99,2.54
