Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create User,150,1992,1966,3188,3234,3860,1023,4562,0.000%,27.07581,6.61,11.05
Create Magazine,150,2024,2017,2178,2527,2823,411,3872,0.000%,28.30189,7.05,9.89
Create Subscription,150,896,937,1320,1475,1952,231,2368,0.000%,32.10616,8.12,13.95
"Get Subscriptions ""/""",150,578,218,1307,2016,4322,197,8983,0.000%,14.75216,10.37,2.26
"Get Subscriptions ""/index.css""",150,32020,25662,55601,72260,181489,3944,191232,5.333%,.77700,140.64,0.12
"Get Subscriptions ""/index.js""",150,13518,11904,21371,24977,61792,1034,63252,0.000%,.79623,125.87,0.13
"Get Subscriptions ""/subscriptions""",150,3496,2826,6911,7919,10916,268,16481,0.000%,.82544,35.50,0.14
TOTAL,1050,7789,2051,20809,37210,70090,197,191232,0.762%,5.28778,289.73,1.38
