Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/static,300,781,457,1656,1721,3014,393,10832,0.000%,26.38987,18.56,4.20
/index.js,300,44839,30996,84945,149595,203363,1381,207914,13.000%,1.43805,198.03,0.20
/index.css,300,18236,15075,29840,35294,117963,1197,187886,1.667%,1.43937,270.56,0.23
/image3.jpg,300,19406,19253,31326,34043,47796,1177,77966,0.667%,1.49537,501.60,0.24
/image2.jpg,300,3165,2558,5261,6640,21462,394,58989,0.000%,1.61152,105.15,0.26
/image1.jpg,300,3298,2876,6560,7273,9880,395,13083,0.000%,1.65060,116.71,0.27
TOTAL,1800,14954,5503,33119,52598,148851,393,207914,2.556%,8.47697,1127.11,1.34
