Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
batch,300,22715,18006,52149,57027,60376,454,60422,1.000%,4.89333,1.18,0.77
TOTAL,300,22715,18006,52149,57027,60376,454,60422,1.000%,4.89333,1.18,0.77
