Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/static,50,421,415,440,465,533,394,533,0.000%,36.04903,25.35,5.74
/index.js,50,2687,1901,3392,4481,18971,1373,18971,0.000%,2.53897,401.36,0.41
/index.css,50,9045,8412,15168,17599,30616,1643,30616,0.000%,1.49347,285.45,0.24
/image3.jpg,50,24579,25529,35152,35299,50514,5271,50514,0.000%,.89944,303.72,0.15
/image2.jpg,50,3610,2786,6112,7882,11363,1276,11363,0.000%,.91516,59.72,0.15
/image1.jpg,50,3804,3273,6798,7247,9704,1027,9704,0.000%,.91500,64.70,0.15
TOTAL,300,7358,2935,23377,29822,35299,394,50514,0.000%,4.59735,631.02,0.74
