Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create User,150,1966,2263,2367,2384,2399,1174,2408,0.000%,45.13993,11.02,18.43
Create Magazine,150,2260,2256,2318,2354,3489,1984,3571,0.000%,27.91217,6.95,9.76
Create Subscription,150,960,974,1177,1214,1399,241,1498,0.000%,41.66667,10.54,18.11
"Get Subscriptions ""/""",150,299,209,751,765,1264,197,2474,0.000%,34.57815,24.31,5.30
"Get Subscriptions ""/index.css""",150,16086,14255,29781,33748,66522,3373,71552,0.667%,2.04007,387.34,0.33
"Get Subscriptions ""/index.js""",150,12546,12378,18914,21666,27664,2187,29283,0.000%,2.08073,328.92,0.34
"Get Subscriptions ""/subscriptions""",150,25156,25260,33072,34198,40037,3352,61500,0.000%,1.96107,1090.93,0.33
TOTAL,1050,8468,2302,24992,29488,35352,197,71552,0.095%,11.48520,1486.00,3.01
