Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create User,300,4003,4013,4392,4413,4981,3432,5032,0.000%,51.00306,12.45,20.82
Create Magazine,300,3624,3578,3842,3867,4202,3369,4292,0.000%,46.27487,11.52,16.18
Create Subscription,300,2248,2224,2369,2839,3341,733,4518,0.000%,53.49501,13.53,23.25
"Get Subscriptions ""/""",300,568,215,1310,2016,2540,197,2736,0.000%,70.45561,49.54,10.80
"Get Subscriptions ""/index.css""",300,40883,26651,77351,182819,188709,2531,198229,12.000%,1.50325,253.11,0.21
"Get Subscriptions ""/index.js""",300,15204,13002,24860,37925,66787,1248,190048,0.333%,1.51790,239.16,0.24
"Get Subscriptions ""/subscriptions""",300,26018,26416,42477,46618,58146,2089,69665,0.000%,1.54852,795.20,0.26
TOTAL,2100,13221,3871,33805,44702,141154,197,198229,1.762%,9.84968,1183.23,2.55
