Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/static,50,420,410,451,491,565,395,565,0.000%,35.63792,25.06,5.67
/index.js,50,3162,2825,6070,6373,7845,1203,7845,0.000%,6.01395,950.68,0.97
/index.css,50,7646,3295,15678,36628,62326,1218,62326,0.000%,.75332,143.98,0.12
/image3.jpg,50,34925,17349,82468,123962,180988,2306,180988,12.000%,.26892,79.96,0.04
/image2.jpg,50,5764,4464,12383,16435,18572,595,18572,0.000%,.27265,17.79,0.04
/image1.jpg,50,9883,4716,14615,17235,180078,397,180078,2.000%,.24829,17.21,0.04
TOTAL,300,10300,3108,19179,43502,125058,395,180988,2.333%,1.43740,187.30,0.23
