Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/static,150,467,418,486,1047,1159,393,1672,0.000%,56.45465,39.69,8.99
/index.js,150,12474,10285,22738,28403,47492,2075,73142,0.667%,2.03026,318.82,0.32
/index.css,150,13131,13206,19765,23134,26862,1719,37613,0.000%,2.05702,393.16,0.33
/image3.jpg,150,16457,16306,22726,25156,28416,1594,29942,0.000%,2.13335,720.38,0.35
/image2.jpg,150,2433,2284,3910,4619,6868,401,7701,0.000%,2.61401,170.57,0.43
/image1.jpg,150,2300,1895,4252,5013,6804,402,9476,0.000%,2.72702,192.83,0.44
TOTAL,900,7877,4318,18979,21774,28951,393,73142,0.111%,11.46132,1571.16,1.85
