Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create User,50,733,698,850,1431,2069,431,2069,0.000%,18.88218,4.61,7.71
Create Magazine,50,540,517,647,1079,1252,277,1252,0.000%,21.18644,5.28,7.41
Create Subscription,50,412,344,391,966,1577,247,1577,0.000%,16.71123,4.23,7.26
"Get Subscriptions ""/""",50,265,207,214,218,1920,197,1920,0.000%,18.51166,13.02,2.84
"Get Subscriptions ""/index.css""",50,15224,13745,25582,31722,42410,3389,42410,0.000%,1.15231,220.24,0.19
"Get Subscriptions ""/index.js""",50,10877,10791,16133,16874,24971,2258,24971,0.000%,1.05461,166.71,0.17
"Get Subscriptions ""/subscriptions""",50,15893,14107,22541,23990,29283,3925,29283,0.000%,1.06060,363.18,0.18
TOTAL,350,6278,812,17900,21644,31722,197,42410,0.000%,6.11717,605.67,1.60
