Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
batch,300,23414,18681,53787,59050,60428,414,60444,4.333%,4.89261,1.19,0.77
TOTAL,300,23414,18681,53787,59050,60428,414,60444,4.333%,4.89261,1.19,0.77
